"loss","tfp_growth","rd_gdp","mean_markup","median_markup","pct75_markup","pct90_markup","pct95_markup","pct99_markup","std_markup","FHK_WITHIN_adj_sh_5y","mean_innov","pct90_innov","rd_leader_share","mu_end","tfp_growth_w","rd_gdp_w","mean_markup_w","median_markup_w","pct75_markup_w","pct90_markup_w","pct95_markup_w","pct99_markup_w","std_markup_w","FHK_WITHIN_adj_sh_5y_w","mean_innov_w","pct90_innov_w","rd_leader_share_w","mu_end_w","B","eta","lambda","phi","gamma","leap","n","calibration","tfp_growth_target","rd_gdp_target","mean_markup_target","median_markup_target","pct75_markup_target","pct90_markup_target","pct95_markup_target","pct99_markup_target","std_markup_target","FHK_WITHIN_adj_sh_5y_target","mean_innov_target","pct90_innov_target","rd_leader_share_target","mu_end_target","B_lower","eta_lower","lambda_lower","phi_lower","B_upper","eta_upper","lambda_upper","phi_upper","run","iter","algorithm"
4.83289151827106,0.122226474113307,1.11802500717252,19.7923483874845,12.4341974854172,26.2480415467722,45.4587972927305,60.7126358785189,98.3004121113734,21.2925012846923,94.6319253137425,1.09328040009284,0,95.7673533830674,2.37848425497105e-11,2,2,1,0,1,1,1,1,0,2,0,0,0,0,0.499888855645936,0.00499999999999994,1.0117740210108,0.0499999999999975,0.35,0,200,1,0.89,2.56,19.8279,14.0011,26.2481,43.3273,57.3856,94.3311,19.8764,90.77,9.63,28.76,45,0,0.1,0,1.0025,0,0.5,0.005,1.02,0.05,7753,8112,"NLOPT_GN_DIRECT"
3.3237150322172,0.259181958975452,2.08828954355279,22.1594077328177,13.4607037821704,28.9045362431731,50.6002952663691,67.9043090960275,111.077148604722,24.2072386762299,92.0896114195089,1.64093774401818,0,93.9637489813073,2.22044604925029e-14,2,2,1,0,1,1,1,1,0,2,0,0,0,0,0.500000000000001,0.00999999999999994,1.02,0.0499999999999977,0.35,0,200,10,0.89,2.56,19.8279,14.0011,26.2481,43.3273,57.3856,94.3311,19.8764,90.77,9.63,28.76,45,0,0.5,0.005,1.02,0,5,0.01,1.5,0.05,2260,8353,"NLOPT_GN_DIRECT"
1.32219852351227,0.889999825447085,3.58906530647402,19.7277574283081,7.46679433152269,21.4926266565077,42.6671402987743,59.0238112823505,102.85688419639,783.610706357973,77.379826296328,2.07994770830148,0,81.8464943476083,6.43669570967512e-14,2,2,1,0,1,1,1,1,0,2,0,0,0,0,0.257662001712047,0.044593050188422,1.09999998884932,0.0487883728704911,0.35,0,200,11,0.89,2.56,19.8279,14.0011,26.2481,43.3273,57.3856,94.3311,19.8764,90.77,9.63,28.76,45,0,0.1,0.01,1.02,0,0.5,0.05,1.5,0.05,1374,8761,"NLOPT_GN_DIRECT"
1.23952804426101,0.889855638807902,4.35668408643105,19.2041324672508,11.1661711138611,24.5573105825839,43.327262764464,58.2720248723657,95.8779040447205,21.1757253124547,87.6456622176547,3.67488104003902,12.0783594538881,90.9499946410979,2.22044604925026e-14,2,2,1,0,1,1,1,1,0,2,0,0,0,0,0.906370377200159,0.0410837639255574,1.02888979209357,0.0331209414301266,0.35,0,200,12,0.89,2.56,19.8279,14.0011,26.2481,43.3273,57.3856,94.3311,19.8764,90.77,9.63,28.76,45,0,0.5,0.01,1.02,0,5,0.05,1.5,0.05,8467,8480,"NLOPT_GN_DIRECT"
2.64000628498488,0.259902856613836,2.17298572428525,19.4472346187281,11.9353328414844,25.4211184201536,44.02184206859,58.6419278683064,94.3311135575141,20.6687060955647,92.2407772885997,2.15207400516083,0,88.1677190813712,2.22044604925028e-14,2,2,1,0,1,1,1,1,0,2,0,0,0,0,0.499999999483765,1.57998032468542e-05,1.01999999997741,0.227705488299562,0.35,0,200,13,0.89,2.56,19.8279,14.0011,26.2481,43.3273,57.3856,94.3311,19.8764,90.77,9.63,28.76,45,0,0.1,0,1.0025,0.05,0.5,0.005,1.02,0.5,8959,8983,"NLOPT_GN_DIRECT"
1.38489516368783,0.890000001556768,5.0356026448179,19.7677406995955,12.3577632743455,25.8655392762861,44.4170896235361,58.9787352258123,94.2829720510712,20.6703119634577,91.2586731804018,5.35714728242268,20.7839872358449,86.6263810109614,2.43314088037324e-14,2,2,1,0,1,1,1,1,0,2,0,0,0,0,1.30761316872428,0.00498526937097537,1.01976904927904,0.169989331475445,0.35,0,200,14,0.89,2.56,19.8279,14.0011,26.2481,43.3273,57.3856,94.3311,19.8764,90.77,9.63,28.76,45,0,0.5,0,1.0025,0.05,5,0.005,1.02,0.5,9033,9043,"NLOPT_GN_DIRECT"
2.68985022023261,0.259955761107689,2.11889645922221,19.3126679870286,11.8018203161304,25.2229866755926,43.794884141904,58.432944943082,94.3336987914872,20.662348672804,91.9668894289194,1.94290407856801,0,90.5928163616367,2.22044604925028e-14,2,2,1,0,1,1,1,1,0,2,0,0,0,0,0.499999874554905,0.00502997353735724,1.01999999451178,0.16109967992684,0.35,0,200,15,0.89,2.56,19.8279,14.0011,26.2481,43.3273,57.3856,94.3311,19.8764,90.77,9.63,28.76,45,0,0.1,0.005,1.0025,0.05,0.5,0.01,1.02,0.5,8915,9007,"NLOPT_GN_DIRECT"
1.36406461927929,0.8900466837926,4.97772718641529,19.6951732202203,12.295716603608,25.7627003043732,44.2812891567878,58.8262965112397,94.1748522542976,20.6376559552905,91.1040061018315,5.18374749000638,18.9986873858458,87.396558066525,2.22044604925028e-14,2,2,1,0,1,1,1,1,0,2,0,0,0,0,1.30555555555556,0.00903863740283493,1.01982796067673,0.157098765432099,0.35,0,200,16,0.89,2.56,19.8279,14.0011,26.2481,43.3273,57.3856,94.3311,19.8764,90.77,9.63,28.76,45,0,0.5,0.005,1.0025,0.05,5,0.01,1.02,0.5,8799,8844,"NLOPT_GN_DIRECT"
2.73817448630128,0.25978767808259,2.06860191349291,19.0847000024517,11.5723925550256,24.8705512122062,43.382426566252,58.0490304246192,94.3311037987984,20.6449298303172,91.5083713850819,1.7882758079658,0,92.7633684227492,2.96857394883522e-14,2,2,1,0,1,1,1,1,0,2,0,0,0,0,0.499996194832122,0.0100014175295721,1.01999999817059,0.0813907376359747,0.35,0,200,17,0.89,2.56,19.8279,14.0011,26.2481,43.3273,57.3856,94.3311,19.8764,90.77,9.63,28.76,45,0,0.1,0.01,1.0025,0.05,0.5,0.05,1.02,0.5,8875,9028,"NLOPT_GN_DIRECT"
1.26597478720163,0.889994642073044,4.6774740756446,19.3786715040814,11.9749722145762,25.2748956862849,43.7334219587763,58.3540883638982,94.3203624550746,20.6328924164083,90.3712276563716,4.42083641925603,15.4980859627391,91.8093487638505,2.22044604925028e-14,2,2,1,0,1,1,1,1,0,2,0,0,0,0,1.33024691358025,0.0322214737331561,1.01967693006745,0.0658702941624753,0.35,0,200,18,0.89,2.56,19.8279,14.0011,26.2481,43.3273,57.3856,94.3311,19.8764,90.77,9.63,28.76,45,0,0.5,0.01,1.0025,0.05,5,0.05,1.02,0.5,9047,9137,"NLOPT_GN_DIRECT"
1.49395994187222,0.779442659345997,4.25347536290312,19.7722308432981,10.6268576332952,24.3390517598194,43.3276704487001,58.5196705023974,96.6172125776408,21.7213625370865,85.7797519983092,3.44634109198097,5.10119539784636,78.9800787843475,5.78643794238658e-14,2,2,1,0,1,1,1,1,0,2,0,0,0,0,0.499999999997876,0.00498145607882314,1.04666802147454,0.391670477059034,0.35,0,200,19,0.89,2.56,19.8279,14.0011,26.2481,43.3273,57.3856,94.3311,19.8764,90.77,9.63,28.76,45,0,0.1,0,1.02,0.05,0.5,0.005,1.5,0.5,4453,8984,"NLOPT_GN_DIRECT"
1.64874428875161,0.840938322012508,5.20871693198522,19.4953861561163,13.1334662229828,26.2673836339667,44.141139686732,57.9908165436202,91.0172881116071,19.5276427145974,94.9046914649244,7.44645660604859,13.1055313319018,93.162603903898,0.0047063490194808,2,2,1,0,1,1,1,1,0,2,0,0,0,0,4.99999999419236,0.00425925925280632,1.00505307745546,0.0499999999354706,0.35,0,200,2,0.89,2.56,19.8279,14.0011,26.2481,43.3273,57.3856,94.3311,19.8764,90.77,9.63,28.76,45,0,0.5,0,1.0025,0,5,0.005,1.02,0.05,9027,9037,"NLOPT_GN_DIRECT"
1.37262949093924,0.886355276243012,4.57350116128042,19.7863946658438,10.6519864763016,24.3574793152795,43.3282401900237,58.4755546279045,96.5459820400071,21.7010065728776,85.6313047792307,3.80706586398933,11.5505592888943,78.104914874241,6.15806295739338e-14,2,2,1,0,1,1,1,1,0,2,0,0,0,0,0.5555555555529,0.00388431641517788,1.0467149881175,0.398353909464775,0.35,0,200,20,0.89,2.56,19.8279,14.0011,26.2481,43.3273,57.3856,94.3311,19.8764,90.77,9.63,28.76,45,0,0.5,0,1.02,0.05,5,0.005,1.5,0.5,2251,9059,"NLOPT_GN_DIRECT"
1.46636563634477,0.781519103656159,4.19242322831499,19.7365659122348,10.5722812771246,24.3166849612669,43.3317228284012,58.5339282853089,96.7051950353077,21.7533471725516,85.7406930762568,3.3203947138228,3.91043742777037,80.5184819070544,6.60867850972212e-14,2,2,1,0,1,1,1,1,0,2,0,0,0,0,0.49999999999929,0.00969135802468251,1.04670956888996,0.352057613167397,0.35,0,200,21,0.89,2.56,19.8279,14.0011,26.2481,43.3273,57.3856,94.3311,19.8764,90.77,9.63,28.76,45,0,0.1,0.005,1.02,0.05,0.5,0.01,1.5,0.5,5472,9028,"NLOPT_GN_DIRECT"
1.34758955151352,0.889414942052236,4.51684484582138,19.7523148169996,10.5987050212286,24.333310247325,43.3272315726716,58.4526946642261,96.6132262453048,21.7236082305652,85.5525745537111,3.68453683520256,9.92108670547672,79.4084798815555,6.01851704069597e-14,2,2,1,0,1,1,1,1,0,2,0,0,0,0,0.555446731933684,0.00834247793188181,1.04681072781359,0.36728172396865,0.35,0,200,22,0.89,2.56,19.8279,14.0011,26.2481,43.3273,57.3856,94.3311,19.8764,90.77,9.63,28.76,45,0,0.5,0.005,1.02,0.05,5,0.01,1.5,0.5,2946,8962,"NLOPT_GN_DIRECT"
1.31609333331465,0.889875479989799,3.62485464269118,19.8279202344669,7.64282807801213,21.6078899231192,42.6290032388114,58.8806403230411,102.155092490029,678.390489733634,77.6499978464053,2.09818206028495,0,81.3711207961149,2.22044604925023e-14,2,2,1,0,1,1,1,1,0,2,0,0,0,0,0.258018635921937,0.0416047124690013,1.09998916140614,0.144206370062634,0.35,0,200,23,0.89,2.56,19.8279,14.0011,26.2481,43.3273,57.3856,94.3311,19.8764,90.77,9.63,28.76,45,0,0.1,0.01,1.02,0.05,0.5,0.05,1.5,0.5,8611,8631,"NLOPT_GN_DIRECT"
1.25881904826644,0.881088255293805,4.17748869634842,19.5714627471704,10.3338281211727,24.1945904296003,43.3272620515206,58.8626200042257,97.3206101542647,21.9827294095165,85.1683564127954,3.1106494425734,6.70420539845866,86.4212279700579,2.22044604925025e-14,2,2,1,0,1,1,1,1,0,2,0,0,0,0,0.554680001062102,0.0332098760785984,1.04636499630251,0.138888873208252,0.35,0,200,24,0.89,2.56,19.8279,14.0011,26.2481,43.3273,57.3856,94.3311,19.8764,90.77,9.63,28.76,45,0,0.5,0.01,1.02,0.05,5,0.05,1.5,0.5,8539,8561,"NLOPT_GN_DIRECT"
7.88453012974249,0.245095767404813,1.65428476735907,7.36158725147082,3.98668065285466,9.18970069845186,16.1346982778677,21.4804899439972,34.3722065400292,7.75808472556166,85.6682873426309,2.92992643446424,0,78.7152209949075,6.81673080159564e-14,2,2,1,0,1,1,1,1,0,2,0,0,0,0,0.499999999999966,2.79404953869514e-16,1.02,0.500000000000006,0.35,0,200,25,0.89,2.56,19.8279,14.0011,26.2481,43.3273,57.3856,94.3311,19.8764,90.77,9.63,28.76,45,0,0.1,0,1.0025,0.5,0.5,0.005,1.02,1,5160,10058,"NLOPT_GN_DIRECT"
